#ndep: 2897
#depth (km)      Eta_arithmetic          Eta_geometric
    -5.0           1.0038E+00              1.0038E+00
    -4.0           1.0029E+00              1.0029E+00
    -3.0           1.0024E+00              1.0024E+00
    -2.0           1.0017E+00              1.0017E+00
    -1.0           1.0007E+00              1.0007E+00
    -0.0           1.0008E+00              1.0008E+00
     1.0           1.0007E+00              1.0007E+00
     2.0           1.0007E+00              1.0007E+00
     3.0           1.0005E+00              1.0005E+00
     4.0           1.0004E+00              1.0004E+00
     5.0           1.0004E+00              1.0004E+00
     6.0           1.0003E+00              1.0003E+00
     7.0           1.0003E+00              1.0003E+00
     8.0           1.0003E+00              1.0003E+00
     9.0           1.0002E+00              1.0002E+00
    10.0           9.9809E-01              9.9799E-01
    11.0           9.8107E-01              9.8038E-01
    12.0           9.6039E-01              9.5939E-01
    13.0           9.4873E-01              9.4775E-01
    14.0           9.4480E-01              9.4386E-01
    15.0           9.4206E-01              9.4115E-01
    16.0           9.4082E-01              9.3991E-01
    17.0           9.3965E-01              9.3876E-01
    18.0           9.3853E-01              9.3766E-01
    19.0           9.3742E-01              9.3657E-01
    20.0           9.3649E-01              9.3567E-01
    21.0           9.3578E-01              9.3498E-01
    22.0           9.3516E-01              9.3438E-01
    23.0           9.3457E-01              9.3380E-01
    24.0           9.3389E-01              9.3314E-01
    25.0           9.3308E-01              9.3233E-01
    26.0           9.3239E-01              9.3165E-01
    27.0           9.3188E-01              9.3116E-01
    28.0           9.3139E-01              9.3068E-01
    29.0           9.3091E-01              9.3021E-01
    30.0           9.3002E-01              9.2935E-01
    31.0           9.2931E-01              9.2866E-01
    32.0           9.2863E-01              9.2800E-01
    33.0           9.2793E-01              9.2732E-01
    34.0           9.2716E-01              9.2658E-01
    35.0           9.2625E-01              9.2569E-01
    36.0           9.2500E-01              9.2448E-01
    37.0           9.2363E-01              9.2316E-01
    38.0           9.2232E-01              9.2190E-01
    39.0           9.2050E-01              9.2014E-01
    40.0           9.1877E-01              9.1848E-01
    41.0           9.1473E-01              9.1460E-01
    42.0           9.1374E-01              9.1364E-01
    43.0           9.1322E-01              9.1314E-01
    44.0           9.1289E-01              9.1282E-01
    45.0           9.1264E-01              9.1258E-01
    46.0           9.1249E-01              9.1243E-01
    47.0           9.1243E-01              9.1237E-01
    48.0           9.1241E-01              9.1236E-01
    49.0           9.1241E-01              9.1237E-01
    50.0           9.1241E-01              9.1238E-01
    51.0           9.1239E-01              9.1236E-01
    52.0           9.1233E-01              9.1231E-01
    53.0           9.1224E-01              9.1222E-01
    54.0           9.1212E-01              9.1210E-01
    55.0           9.1197E-01              9.1195E-01
    56.0           9.1181E-01              9.1180E-01
    57.0           9.1166E-01              9.1166E-01
    58.0           9.1160E-01              9.1160E-01
    59.0           9.1162E-01              9.1161E-01
    60.0           9.1170E-01              9.1169E-01
    61.0           9.1169E-01              9.1169E-01
    62.0           9.1170E-01              9.1170E-01
    63.0           9.1171E-01              9.1171E-01
    64.0           9.1173E-01              9.1173E-01
    65.0           9.1176E-01              9.1176E-01
    66.0           9.1180E-01              9.1180E-01
    67.0           9.1183E-01              9.1183E-01
    68.0           9.1187E-01              9.1187E-01
    69.0           9.1192E-01              9.1192E-01
    70.0           9.1197E-01              9.1196E-01
    71.0           9.1202E-01              9.1202E-01
    72.0           9.1207E-01              9.1207E-01
    73.0           9.1213E-01              9.1213E-01
    74.0           9.1219E-01              9.1219E-01
    75.0           9.1226E-01              9.1226E-01
    76.0           9.1233E-01              9.1233E-01
    77.0           9.1241E-01              9.1241E-01
    78.0           9.1249E-01              9.1248E-01
    79.0           9.1257E-01              9.1257E-01
    80.0           9.1266E-01              9.1266E-01
    81.0           9.1276E-01              9.1276E-01
    82.0           9.1286E-01              9.1286E-01
    83.0           9.1296E-01              9.1296E-01
    84.0           9.1307E-01              9.1306E-01
    85.0           9.1317E-01              9.1317E-01
    86.0           9.1330E-01              9.1330E-01
    87.0           9.1343E-01              9.1342E-01
    88.0           9.1355E-01              9.1355E-01
    89.0           9.1367E-01              9.1367E-01
    90.0           9.1380E-01              9.1380E-01
    91.0           9.1396E-01              9.1396E-01
    92.0           9.1411E-01              9.1411E-01
    93.0           9.1426E-01              9.1426E-01
    94.0           9.1441E-01              9.1441E-01
    95.0           9.1456E-01              9.1456E-01
    96.0           9.1475E-01              9.1474E-01
    97.0           9.1492E-01              9.1492E-01
    98.0           9.1510E-01              9.1510E-01
    99.0           9.1528E-01              9.1527E-01
   100.0           9.1545E-01              9.1545E-01
   101.0           9.1567E-01              9.1567E-01
   102.0           9.1588E-01              9.1588E-01
   103.0           9.1609E-01              9.1609E-01
   104.0           9.1630E-01              9.1629E-01
   105.0           9.1650E-01              9.1650E-01
   106.0           9.1676E-01              9.1675E-01
   107.0           9.1699E-01              9.1699E-01
   108.0           9.1723E-01              9.1723E-01
   109.0           9.1747E-01              9.1747E-01
   110.0           9.1771E-01              9.1771E-01
   111.0           9.1800E-01              9.1799E-01
   112.0           9.1827E-01              9.1826E-01
   113.0           9.1854E-01              9.1853E-01
   114.0           9.1881E-01              9.1880E-01
   115.0           9.1908E-01              9.1907E-01
   116.0           9.1941E-01              9.1940E-01
   117.0           9.1972E-01              9.1972E-01
   118.0           9.2003E-01              9.2003E-01
   119.0           9.2034E-01              9.2034E-01
   120.0           9.2066E-01              9.2065E-01
   121.0           9.2103E-01              9.2102E-01
   122.0           9.2138E-01              9.2137E-01
   123.0           9.2172E-01              9.2172E-01
   124.0           9.2207E-01              9.2207E-01
   125.0           9.2242E-01              9.2242E-01
   126.0           9.2283E-01              9.2283E-01
   127.0           9.2322E-01              9.2321E-01
   128.0           9.2360E-01              9.2360E-01
   129.0           9.2399E-01              9.2399E-01
   130.0           9.2438E-01              9.2437E-01
   131.0           9.2483E-01              9.2483E-01
   132.0           9.2526E-01              9.2526E-01
   133.0           9.2569E-01              9.2569E-01
   134.0           9.2612E-01              9.2612E-01
   135.0           9.2655E-01              9.2655E-01
   136.0           9.2705E-01              9.2705E-01
   137.0           9.2753E-01              9.2753E-01
   138.0           9.2801E-01              9.2800E-01
   139.0           9.2848E-01              9.2848E-01
   140.0           9.2896E-01              9.2896E-01
   141.0           9.2951E-01              9.2951E-01
   142.0           9.3004E-01              9.3003E-01
   143.0           9.3056E-01              9.3055E-01
   144.0           9.3108E-01              9.3108E-01
   145.0           9.3160E-01              9.3160E-01
   146.0           9.3220E-01              9.3220E-01
   147.0           9.3277E-01              9.3277E-01
   148.0           9.3334E-01              9.3334E-01
   149.0           9.3391E-01              9.3390E-01
   150.0           9.3448E-01              9.3447E-01
   151.0           9.3512E-01              9.3512E-01
   152.0           9.3573E-01              9.3573E-01
   153.0           9.3635E-01              9.3634E-01
   154.0           9.3696E-01              9.3695E-01
   155.0           9.3757E-01              9.3756E-01
   156.0           9.3826E-01              9.3825E-01
   157.0           9.3891E-01              9.3890E-01
   158.0           9.3956E-01              9.3955E-01
   159.0           9.4021E-01              9.4020E-01
   160.0           9.4086E-01              9.4085E-01
   161.0           9.4158E-01              9.4158E-01
   162.0           9.4226E-01              9.4226E-01
   163.0           9.4295E-01              9.4294E-01
   164.0           9.4363E-01              9.4363E-01
   165.0           9.4432E-01              9.4431E-01
   166.0           9.4507E-01              9.4507E-01
   167.0           9.4578E-01              9.4578E-01
   168.0           9.4649E-01              9.4649E-01
   169.0           9.4720E-01              9.4720E-01
   170.0           9.4791E-01              9.4791E-01
   171.0           9.4868E-01              9.4868E-01
   172.0           9.4941E-01              9.4941E-01
   173.0           9.5014E-01              9.5013E-01
   174.0           9.5087E-01              9.5086E-01
   175.0           9.5159E-01              9.5159E-01
   176.0           9.5238E-01              9.5238E-01
   177.0           9.5312E-01              9.5312E-01
   178.0           9.5386E-01              9.5386E-01
   179.0           9.5460E-01              9.5460E-01
   180.0           9.5534E-01              9.5534E-01
   181.0           9.5613E-01              9.5613E-01
   182.0           9.5687E-01              9.5687E-01
   183.0           9.5762E-01              9.5761E-01
   184.0           9.5836E-01              9.5836E-01
   185.0           9.5911E-01              9.5910E-01
   186.0           9.5989E-01              9.5989E-01
   187.0           9.6063E-01              9.6063E-01
   188.0           9.6137E-01              9.6137E-01
   189.0           9.6211E-01              9.6211E-01
   190.0           9.6285E-01              9.6285E-01
   191.0           9.6363E-01              9.6363E-01
   192.0           9.6436E-01              9.6435E-01
   193.0           9.6509E-01              9.6508E-01
   194.0           9.6581E-01              9.6581E-01
   195.0           9.6654E-01              9.6654E-01
   196.0           9.6730E-01              9.6729E-01
   197.0           9.6801E-01              9.6800E-01
   198.0           9.6872E-01              9.6871E-01
   199.0           9.6943E-01              9.6942E-01
   200.0           9.7013E-01              9.7013E-01
   201.0           9.7086E-01              9.7086E-01
   202.0           9.7155E-01              9.7154E-01
   203.0           9.7223E-01              9.7223E-01
   204.0           9.7291E-01              9.7291E-01
   205.0           9.7360E-01              9.7359E-01
   206.0           9.7429E-01              9.7429E-01
   207.0           9.7494E-01              9.7494E-01
   208.0           9.7560E-01              9.7559E-01
   209.0           9.7625E-01              9.7624E-01
   210.0           9.7690E-01              9.7690E-01
   211.0           9.7755E-01              9.7755E-01
   212.0           9.7817E-01              9.7817E-01
   213.0           9.7878E-01              9.7878E-01
   214.0           9.7940E-01              9.7939E-01
   215.0           9.8001E-01              9.8001E-01
