#ndep: 2897
#depth (km)   Rho_arithmetic (g/cm^3)   Rho_geometric (g/cm^3)
    -5.0           2.5741E+00              2.5719E+00
    -4.0           2.5823E+00              2.5798E+00
    -3.0           2.5979E+00              2.5952E+00
    -2.0           2.6104E+00              2.6066E+00
    -1.0           2.5908E+00              2.5853E+00
    -0.0           2.5744E+00              2.5678E+00
     1.0           2.5880E+00              2.5800E+00
     2.0           2.5918E+00              2.5835E+00
     3.0           2.6063E+00              2.6001E+00
     4.0           2.6342E+00              2.6289E+00
     5.0           2.6910E+00              2.6842E+00
     6.0           2.7814E+00              2.7734E+00
     7.0           2.8593E+00              2.8523E+00
     8.0           2.9125E+00              2.9069E+00
     9.0           2.9434E+00              2.9386E+00
    10.0           2.9638E+00              2.9592E+00
    11.0           3.0158E+00              3.0093E+00
    12.0           3.0750E+00              3.0671E+00
    13.0           3.1119E+00              3.1039E+00
    14.0           3.1292E+00              3.1217E+00
    15.0           3.1411E+00              3.1339E+00
    16.0           3.1457E+00              3.1384E+00
    17.0           3.1510E+00              3.1438E+00
    18.0           3.1569E+00              3.1501E+00
    19.0           3.1634E+00              3.1569E+00
    20.0           3.1696E+00              3.1635E+00
    21.0           3.1751E+00              3.1693E+00
    22.0           3.1801E+00              3.1746E+00
    23.0           3.1847E+00              3.1795E+00
    24.0           3.1892E+00              3.1841E+00
    25.0           3.1937E+00              3.1888E+00
    26.0           3.1975E+00              3.1927E+00
    27.0           3.2005E+00              3.1960E+00
    28.0           3.2035E+00              3.1991E+00
    29.0           3.2065E+00              3.2022E+00
    30.0           3.2106E+00              3.2066E+00
    31.0           3.2142E+00              3.2103E+00
    32.0           3.2177E+00              3.2140E+00
    33.0           3.2212E+00              3.2177E+00
    34.0           3.2249E+00              3.2216E+00
    35.0           3.2292E+00              3.2260E+00
    36.0           3.2348E+00              3.2320E+00
    37.0           3.2410E+00              3.2385E+00
    38.0           3.2470E+00              3.2447E+00
    39.0           3.2550E+00              3.2531E+00
    40.0           3.2624E+00              3.2608E+00
    41.0           3.2789E+00              3.2780E+00
    42.0           3.2832E+00              3.2825E+00
    43.0           3.2856E+00              3.2850E+00
    44.0           3.2874E+00              3.2868E+00
    45.0           3.2889E+00              3.2884E+00
    46.0           3.2901E+00              3.2896E+00
    47.0           3.2909E+00              3.2905E+00
    48.0           3.2915E+00              3.2911E+00
    49.0           3.2921E+00              3.2917E+00
    50.0           3.2926E+00              3.2923E+00
    51.0           3.2933E+00              3.2930E+00
    52.0           3.2941E+00              3.2939E+00
    53.0           3.2951E+00              3.2949E+00
    54.0           3.2963E+00              3.2961E+00
    55.0           3.2975E+00              3.2973E+00
    56.0           3.2988E+00              3.2987E+00
    57.0           3.3001E+00              3.3000E+00
    58.0           3.3010E+00              3.3010E+00
    59.0           3.3017E+00              3.3016E+00
    60.0           3.3021E+00              3.3020E+00
    61.0           3.3028E+00              3.3028E+00
    62.0           3.3036E+00              3.3035E+00
    63.0           3.3043E+00              3.3042E+00
    64.0           3.3049E+00              3.3049E+00
    65.0           3.3056E+00              3.3056E+00
    66.0           3.3062E+00              3.3062E+00
    67.0           3.3069E+00              3.3069E+00
    68.0           3.3076E+00              3.3075E+00
    69.0           3.3082E+00              3.3082E+00
    70.0           3.3089E+00              3.3089E+00
    71.0           3.3096E+00              3.3096E+00
    72.0           3.3103E+00              3.3103E+00
    73.0           3.3110E+00              3.3110E+00
    74.0           3.3117E+00              3.3117E+00
    75.0           3.3124E+00              3.3124E+00
    76.0           3.3131E+00              3.3131E+00
    77.0           3.3139E+00              3.3138E+00
    78.0           3.3146E+00              3.3146E+00
    79.0           3.3153E+00              3.3153E+00
    80.0           3.3161E+00              3.3161E+00
    81.0           3.3169E+00              3.3169E+00
    82.0           3.3176E+00              3.3176E+00
    83.0           3.3184E+00              3.3184E+00
    84.0           3.3192E+00              3.3192E+00
    85.0           3.3199E+00              3.3199E+00
    86.0           3.3208E+00              3.3208E+00
    87.0           3.3216E+00              3.3215E+00
    88.0           3.3224E+00              3.3223E+00
    89.0           3.3231E+00              3.3231E+00
    90.0           3.3239E+00              3.3239E+00
    91.0           3.3248E+00              3.3248E+00
    92.0           3.3256E+00              3.3256E+00
    93.0           3.3264E+00              3.3264E+00
    94.0           3.3272E+00              3.3272E+00
    95.0           3.3280E+00              3.3280E+00
    96.0           3.3289E+00              3.3289E+00
    97.0           3.3298E+00              3.3297E+00
    98.0           3.3306E+00              3.3306E+00
    99.0           3.3314E+00              3.3314E+00
   100.0           3.3323E+00              3.3322E+00
   101.0           3.3332E+00              3.3331E+00
   102.0           3.3340E+00              3.3340E+00
   103.0           3.3348E+00              3.3348E+00
   104.0           3.3357E+00              3.3357E+00
   105.0           3.3365E+00              3.3365E+00
   106.0           3.3375E+00              3.3374E+00
   107.0           3.3383E+00              3.3383E+00
   108.0           3.3392E+00              3.3391E+00
   109.0           3.3400E+00              3.3400E+00
   110.0           3.3409E+00              3.3409E+00
   111.0           3.3418E+00              3.3418E+00
   112.0           3.3427E+00              3.3427E+00
   113.0           3.3436E+00              3.3435E+00
   114.0           3.3445E+00              3.3444E+00
   115.0           3.3453E+00              3.3453E+00
   116.0           3.3463E+00              3.3462E+00
   117.0           3.3472E+00              3.3471E+00
   118.0           3.3480E+00              3.3480E+00
   119.0           3.3489E+00              3.3489E+00
   120.0           3.3498E+00              3.3498E+00
   121.0           3.3507E+00              3.3507E+00
   122.0           3.3516E+00              3.3516E+00
   123.0           3.3525E+00              3.3525E+00
   124.0           3.3534E+00              3.3534E+00
   125.0           3.3543E+00              3.3542E+00
   126.0           3.3552E+00              3.3552E+00
   127.0           3.3561E+00              3.3561E+00
   128.0           3.3570E+00              3.3570E+00
   129.0           3.3579E+00              3.3578E+00
   130.0           3.3588E+00              3.3587E+00
   131.0           3.3597E+00              3.3597E+00
   132.0           3.3606E+00              3.3606E+00
   133.0           3.3615E+00              3.3614E+00
   134.0           3.3624E+00              3.3623E+00
   135.0           3.3633E+00              3.3632E+00
   136.0           3.3642E+00              3.3642E+00
   137.0           3.3651E+00              3.3650E+00
   138.0           3.3660E+00              3.3659E+00
   139.0           3.3669E+00              3.3668E+00
   140.0           3.3677E+00              3.3677E+00
   141.0           3.3687E+00              3.3686E+00
   142.0           3.3696E+00              3.3695E+00
   143.0           3.3704E+00              3.3704E+00
