#ndep: 2897
#depth (km)   Vsh_arithmetic (km/s)   Vsh_geometric (km/s)
    -5.0           2.8746E+00              2.8484E+00
    -4.0           2.9372E+00              2.9134E+00
    -3.0           3.0050E+00              2.9846E+00
    -2.0           3.0671E+00              3.0319E+00
    -1.0           2.9857E+00              2.9082E+00
    -0.0           2.9251E+00              2.8288E+00
     1.0           2.9910E+00              2.8895E+00
     2.0           2.9960E+00              2.8934E+00
     3.0           2.9972E+00              2.9142E+00
     4.0           3.0670E+00              2.9928E+00
     5.0           3.2362E+00              3.1505E+00
     6.0           3.4817E+00              3.4025E+00
     7.0           3.6596E+00              3.6129E+00
     8.0           3.7728E+00              3.7509E+00
     9.0           3.8499E+00              3.8369E+00
    10.0           3.9084E+00              3.8971E+00
    11.0           4.0048E+00              3.9901E+00
    12.0           4.1168E+00              4.0985E+00
    13.0           4.1949E+00              4.1759E+00
    14.0           4.2317E+00              4.2137E+00
    15.0           4.2563E+00              4.2387E+00
    16.0           4.2650E+00              4.2471E+00
    17.0           4.2759E+00              4.2583E+00
    18.0           4.2881E+00              4.2713E+00
    19.0           4.3014E+00              4.2854E+00
    20.0           4.3137E+00              4.2987E+00
    21.0           4.3245E+00              4.3104E+00
    22.0           4.3343E+00              4.3210E+00
    23.0           4.3434E+00              4.3307E+00
    24.0           4.3523E+00              4.3402E+00
    25.0           4.3615E+00              4.3498E+00
    26.0           4.3692E+00              4.3580E+00
    27.0           4.3753E+00              4.3646E+00
    28.0           4.3812E+00              4.3709E+00
    29.0           4.3869E+00              4.3771E+00
    30.0           4.3951E+00              4.3857E+00
    31.0           4.4018E+00              4.3929E+00
    32.0           4.4083E+00              4.3999E+00
    33.0           4.4149E+00              4.4070E+00
    34.0           4.4219E+00              4.4144E+00
    35.0           4.4298E+00              4.4228E+00
    36.0           4.4406E+00              4.4341E+00
    37.0           4.4525E+00              4.4466E+00
    38.0           4.4643E+00              4.4588E+00
    39.0           4.4801E+00              4.4753E+00
    40.0           4.4942E+00              4.4899E+00
    41.0           4.5250E+00              4.5219E+00
